repo,file_path,llm_success,llm_error
RxJava,src/jmh/java/io/reactivex/rxjava3/core/BinaryFlatMapPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/BlockingGetPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/BlockingPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/CallableAsyncPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/EachTypeFlatMapPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/FlatMapJustPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/FlattenCrossMapPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/FlattenJustPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/FlattenRangePerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/FlowableFlatMapCompletableAsyncPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/FlowableFlatMapCompletableSyncPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/InputWithIncrementingInteger.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/JustAsyncPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/ObservableFlatMapPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/OperatorFlatMapPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/OperatorMergePerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/PerfAsyncConsumer.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/PerfBoundedSubscriber.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/PerfConsumer.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/PerfInteropConsumer.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/PerfObserver.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/PerfSubscriber.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/PublishProcessorPerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
RxJava,src/jmh/java/io/reactivex/rxjava3/core/RangePerf.java,False,"404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods."
